RMS,Arabic_Description,English_Description,type,units,unit_type,FreqType,ImageUrl
100012594,Mestinon 60 mg Tablet,Mestinon 60 mg Tablet,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100022602,Tenoretic Tablet,Tenoretic Tablet,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025521,Inderal 40 mg Tablet,Inderal 40 mg Tablet,tablet,50,box,day,https://www.nahdionline.com/media/catalog/product/i/n/inderal-40-mg-tablet-00_1.jpg
100025539,Inderal 10 mg Tablet,Inderal 10 mg Tablet,tablet,50,box,day,https://www.nahdionline.com/media/catalog/product/i/n/inderal-10-mg-tablet-00_1.jpg
100633307,Monozide 25 mg Tablet,Monozide 25 mg Tablet,tablet,30,box,day,https://www.nahdionline.com/media/catalog/product/1/9/19911_monozide_25mg_tab-550x313.png
100697263,Ipramax 100mg Tablet 60 ,Ipramax 100mg Tablet 60 ,tablet,60,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100697271,Cardex 5mg Tablet 30 ,Cardex 5mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100704321,Loxol 25 mg Tablet 30 ,Loxol 25 mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100707337,Daonil M 2.5/500 mg Tablet 30 ,Daonil M 2.5/500 mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100722254,Valdoxan 25 mg Tablet 28 Piece,Valdoxan 25 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100755321,Seroquel XL 300 mg Tablet 30 ,Seroquel XL 300 mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100755339,Seroquel XL 50 mg Tablet 30 ,Seroquel XL 50 mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100828497,Solian 400 mg Tablet 30 ,Solian 400 mg Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100862302,Sevikar 40/5 mg Tablet 28 Piece,Sevikar 40/5 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100862311,Sevikar 20/5 mg Tablet 28 Piece,Sevikar 20/5 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100862329,Sevikar 40/10 mg Tablet 28 Piece,Sevikar 40/10 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100862337,Sevikar 20/10 mg Tablet 28 Piece,Sevikar 20/10 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100864316,Gliptamet 50/1000 mg Tablet 56 Piece,Gliptamet 50/1000 mg Tablet 56 Piece,tablet,56,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100864324,Glipten 100 mg Tablet 28 Piece,Glipten 100 mg Tablet 28 Piece,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100864341,Gliptamet 50/850 mg Tablet 56 Piece,Gliptamet 50/850 mg Tablet 56 Piece,tablet,56,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100866371,Airfast 4 mg Chewable Tablet 30 ,Airfast 4 mg Chewable Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100866389,Airfast 5 mg Chewable Tablet 30 ,Airfast 5 mg Chewable Tablet 30 ,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100869264,Visanne 2 mg Tablet 28 P,Visanne 2 mg Tablet 28 P,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100947980,Montel 5mg 28 Chew Tablets,Montel 5mg 28 Chew Tablets,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100947998,Montel 4mg 28 Chew Tablets,Montel 4mg 28 Chew Tablets,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101023981,Ultibro 110/50mcg 30 Inhalation Capsules,Ultibro 110/50mcg 30 Inhalation Capsules,tablet,30,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101054930,Kemadrin 5 Mg Tablet,Kemadrin 5 Mg Tablet,tablet,100,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101380372,Lindynette 0.075/0.03 Mg 21 Film-Coated Tablets,Lindynette 0.075/0.03 Mg 21 Film-Coated Tablets,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631205,Flocazole 150 mg Capsule 1pc,Flocazole 150 mg Capsule 1pc,antibiotic,1,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631192,Duracan 150 mg Capsule 1pc,Duracan 150 mg Capsule 1pc,antibiotic,1,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101594514,Navela 1.5 mg 1 Tablet,Navela 1.5 mg 1 Tablet,tablet,1,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016481,Imigran 50 mg Tablet 2pcs,Imigran 50 mg Tablet 2pcs,tablet,2,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016499,Imigran 100 mg Tablet 2pcs,Imigran 100 mg Tablet 2pcs,tablet,2,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100033395,Dostinex 0.5 mg Tablet 2pcs,Dostinex 0.5 mg Tablet 2pcs,tablet,2,box,week,https://www.nahdionline.com/media/catalog/product/d/o/dostinex-0-5-mg-tablet-2pcs-00_1.jpg
100613779,Postinor 0.75 mg Tablet 2 Tablets,Postinor 0.75 mg Tablet 2 Tablets,tablet,2,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101333162,Nostifix 0.5 mg tablet 2pcs,Nostifix 0.5 mg tablet 2pcs,tablet,2,box,week,https://www.nahdionline.com/media/catalog/product/n/o/nostifix-0-5-mg-tablet-2pcs-1_1.jpg
101801632,Sumarex 50 Mg Tablet 2 Pcs,Sumarex 50 Mg Tablet 2 Pcs,tablet,2,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101801659,Sumarex 100 Mg Tablet 2 Pcs,Sumarex 100 Mg Tablet 2 Pcs,tablet,2,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101172901,Azolid 500 mg 3 Tablets,Azolid 500 mg 3 Tablets,antibiotic,3,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631521,Azimac 500 mg Tablet 3pcs,Azimac 500 mg Tablet 3pcs,antibiotic,3,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100010855,Relpax 40 mg Tablet 3pcs,Relpax 40 mg Tablet 3pcs,tablet,3,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100838652,Secnid 500 mg Tablet 4 Piece,Secnid 500 mg Tablet 4 Piece,antibiotic,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100020359,Biltricide 600 mg Tablet 4pcs,Biltricide 600 mg Tablet 4pcs,antibiotic,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100005749,Tracon 100 mg Capsule 4pcs,Tracon 100 mg Capsule 4pcs,antibiotic,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100010151,Fosamax 70 mg Tablet 4pcs,Fosamax 70 mg Tablet 4pcs,tablet,4,box,week,https://www.nahdionline.com/media/catalog/product/f/o/fosamax-70-mg-tablet-4pcs-0_1.jpg
100010468,Lendomax 70 mg Tablet 4pcs,Lendomax 70 mg Tablet 4pcs,tablet,4,box,week,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100010476,Alendro 70 mg Tablet 4pcs,Alendro 70 mg Tablet 4pcs,tablet,4,box,week,https://www.nahdionline.com/media/catalog/product/a/l/alendro-70-mg-tablet-4pcs-0_1.jpg
100900698,Lejam 30 mg Tablet 4pcs,Lejam 30 mg Tablet 4pcs,tablet,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100900701,Lejam 60 mg Tablet 4pcs,Lejam 60 mg Tablet 4pcs,tablet,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100994495,Elong 60mg 4 Tablets,Elong 60mg 4 Tablets,tablet,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101241305,Dapo 60 mg 4 Tablets,Dapo 60 mg 4 Tablets,tablet,4,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101453480,Levon 500 mg 5 film-coated tablet,Levon 500 mg 5 film-coated tablet,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101136935,Levaquin 500 mg Tablet 5 pcs,Levaquin 500 mg Tablet 5 pcs,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101075546,Moxiflox 400 mg 5 Tablets,Moxiflox 400 mg 5 Tablets,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100875381,Levoflox 500 mg 5 tablet,Levoflox 500 mg 5 tablet,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100674862,Levox 500mg Tablet 5,Levox 500mg Tablet 5,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100674854,Levox 750mg Tablet 5,Levox 750mg Tablet 5,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100634473,Tavanic 500 mg Tablet,Tavanic 500 mg Tablet,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100606296,Maxim 400 mg Tablet 5pcs,Maxim 400 mg Tablet 5pcs,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008739,Avalox 400 mg Tablet 5pcs,Avalox 400 mg Tablet 5pcs,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007293,Factive 320 mg Tablet 5pcs,Factive 320 mg Tablet 5pcs,antibiotic,5,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100864308,Suprax-D 400 mg Tablet 6 Piece,Suprax-D 400 mg Tablet 6 Piece,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100634043,Suprax 400 mg Capsule 6pcs,Suprax 400 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631820,Winex 400 mg Capsule 6pcs,Winex 400 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631803,Cefix 400 mg Capsule 6pcs,Cefix 400 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631441,Magnacef 400 mg Capsule 6pcs,Magnacef 400 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100019243,Vermox 100 mg Tablet 6pcs,Vermox 100 mg Tablet 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008827,Zimax 250 mg Capsule 6pcs,Zimax 250 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008819,Zetron 250 mg Capsule 6pcs,Zetron 250 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007365,Azi-Once 250 mg Capsule 6pcs,Azi-Once 250 mg Capsule 6pcs,antibiotic,6,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
